Student Name,Student ID,Attendance Percentage,Previous Exam Score,Previous Semester Score,Assignment Score,Internal Assessment Score,Study Hours per Day,Class Participation Percentage,Sleep Hours per Day,Final Performance Score,Performance Category
Mohit Bansal,ST1780,53.9,84.9,80.8,85.0,71.3,2.4,74.6,6.4,80.9,Good
Rohan Bansal,ST1781,77.5,87.0,91.8,74.5,79.6,5.5,82.3,6.2,85.1,Excellent
Sachin Patel,ST1782,67.3,72.1,58.7,64.8,69.1,5.2,66.2,6.3,76.0,Good
Sakshi Mishra,ST1783,86.4,84.3,92.7,73.3,76.7,2.9,47.2,7.6,83.1,Good
Pooja Sharma,ST1784,71.4,58.9,54.1,57.3,85.7,5.7,58.8,6.1,72.0,Good
Tanya Joshi,ST1785,78.8,77.2,66.7,78.6,76.5,9.8,96.3,7.3,96.5,Excellent
Arjun Mishra,ST1786,81.8,70.7,73.6,60.8,79.7,5.0,76.1,8.2,87.3,Excellent
Neha Sinha,ST1787,93.4,75.4,79.6,83.9,77.8,6.7,75.9,5.7,87.1,Excellent
Nisha Joshi,ST1788,56.9,54.2,42.9,60.6,57.5,2.7,45.6,6.0,59.2,Average
Kavya Yadav,ST1789,69.2,62.2,63.0,55.7,46.9,3.4,46.9,6.7,68.6,Average
Sakshi Kapoor,ST1790,98.4,86.6,95.6,66.7,76.0,5.6,100.0,6.5,99.4,Excellent
Karan Pandey,ST1791,54.6,49.7,54.5,75.4,48.5,1.6,70.8,8.7,65.5,Average
Sameer Agarwal,ST1792,68.0,48.1,42.7,66.4,51.5,3.0,50.6,7.2,66.2,Average
Vikram Bansal,ST1793,74.3,73.0,49.1,64.6,58.6,3.6,57.6,7.6,72.9,Good
Sameer Verma,ST1794,96.0,75.0,100.0,78.2,100.0,4.3,68.2,7.5,100.0,Excellent
Sameer Sharma,ST1795,65.8,55.9,61.6,66.0,80.3,0.6,45.4,6.6,69.2,Average
Diya Sharma,ST1796,73.1,63.2,81.5,78.6,65.1,3.8,61.2,6.9,76.8,Good
Diya Pandey,ST1797,76.1,58.9,66.4,77.0,74.4,1.9,56.4,7.4,72.8,Good
Pranav Mehta,ST1798,92.6,70.1,75.9,81.7,67.9,7.0,84.8,7.1,94.9,Excellent
Aditya Patel,ST1799,70.4,47.0,69.3,52.5,40.2,0.5,77.4,6.1,59.5,Average
Varun Chauhan,ST1800,81.2,78.5,84.8,77.4,73.3,3.1,72.3,6.6,76.1,Good
Isha Verma,ST1801,61.0,38.9,48.1,61.9,59.4,5.4,41.3,7.0,67.8,Average
Vikram Mishra,ST1802,85.7,99.6,87.2,85.5,100.0,7.1,97.8,6.3,100.0,Excellent
Akash Patel,ST1803,71.0,62.9,48.9,60.6,75.9,4.5,67.6,5.7,76.6,Good
Aryan Patel,ST1804,69.0,73.4,59.7,75.0,64.8,4.3,65.8,6.4,77.7,Good
Aryan Mehta,ST1805,85.5,79.8,93.5,84.2,88.6,5.6,100.0,5.5,98.6,Excellent
Sachin Joshi,ST1806,82.0,69.3,54.0,61.2,69.2,5.6,63.9,8.3,93.9,Excellent
Deepak Malhotra,ST1807,100.0,85.1,96.3,100.0,99.9,5.7,94.9,6.6,100.0,Excellent
Arjun Bansal,ST1808,55.6,88.2,81.7,72.3,54.0,2.6,36.2,7.2,73.3,Good
Rahul Pandey,ST1809,72.0,56.0,75.3,80.0,78.2,6.5,64.5,5.8,85.0,Excellent
Anjali Mishra,ST1810,66.0,84.3,60.0,75.8,67.6,0.5,67.3,7.8,75.2,Good
Meera Saxena,ST1811,55.7,46.0,56.2,60.8,53.2,2.3,55.1,8.0,65.3,Average
Aman Patel,ST1812,82.0,72.8,66.2,67.4,66.8,4.2,68.4,6.2,72.8,Good
Neha Singh,ST1813,70.2,66.7,68.2,72.3,75.7,4.8,81.1,6.1,85.8,Excellent
Ishaan Mishra,ST1814,70.5,30.6,45.0,64.7,57.5,2.0,63.3,6.9,51.3,Average
Khushi Yadav,ST1815,71.5,55.2,51.9,72.9,56.7,4.7,58.6,5.6,71.0,Good
Nikhil Yadav,ST1816,83.9,76.6,90.4,84.8,70.4,7.9,74.9,7.0,88.6,Excellent
Diya Shah,ST1817,80.9,74.8,69.2,65.2,95.8,6.1,72.1,7.6,87.4,Excellent
Manish Chauhan,ST1818,67.3,72.2,73.4,73.8,65.1,3.4,69.2,5.8,77.7,Good
Shreya Shah,ST1819,50.7,59.3,65.1,64.0,70.2,4.8,54.0,7.9,78.3,Good
Arjun Sinha,ST1820,94.6,92.6,90.2,92.9,93.5,8.3,100.0,7.5,100.0,Excellent
Khushi Patel,ST1821,57.6,50.4,57.7,49.5,61.1,3.2,44.9,4.5,59.7,Average
Khushi Sinha,ST1822,65.8,44.9,56.9,87.2,68.1,6.2,60.6,5.8,79.9,Good
Neha Gupta,ST1823,70.2,27.7,41.6,59.0,56.3,0.5,78.6,6.9,58.1,Average
Sakshi Joshi,ST1824,94.2,65.6,89.9,78.1,72.7,6.3,69.0,7.4,89.4,Excellent
Akash Agarwal,ST1825,96.9,60.8,45.0,75.8,50.3,5.0,77.3,7.4,81.8,Good
Shivam Kapoor,ST1826,84.3,46.7,69.3,79.3,65.4,2.2,48.5,6.4,68.0,Average
Sameer Mehta,ST1827,96.9,93.4,100.0,100.0,87.0,8.5,100.0,8.2,100.0,Excellent
Deepak Rana,ST1828,60.9,42.2,73.0,55.7,39.7,5.3,93.2,6.3,68.8,Average
Rohan Pandey,ST1829,88.0,93.1,100.0,96.0,92.0,6.4,100.0,6.0,96.8,Excellent
Sneha Kumar,ST1830,65.1,64.7,61.0,63.4,45.6,5.1,79.4,5.8,74.8,Good
Rahul Yadav,ST1831,73.6,58.7,71.9,67.8,74.7,5.9,64.0,6.7,82.3,Good
Meera Bansal,ST1832,87.5,78.4,90.6,73.9,100.0,10.0,100.0,7.3,100.0,Excellent
Sakshi Joshi,ST1833,79.2,60.3,60.6,64.4,51.6,6.3,69.1,5.9,69.0,Average
Shreya Verma,ST1834,62.1,50.7,64.2,53.4,54.4,5.0,75.8,7.2,69.3,Average
Shreya Verma,ST1835,82.6,77.6,70.0,76.6,90.0,4.0,58.1,7.3,91.5,Excellent
Isha Verma,ST1836,63.0,82.0,66.5,63.7,61.2,3.6,80.2,7.1,80.8,Good
Shreya Patel,ST1837,80.9,82.1,61.1,58.7,78.5,0.8,77.5,7.8,81.4,Good
Varun Agarwal,ST1838,85.4,65.1,69.6,71.0,90.3,2.5,55.4,8.2,88.8,Excellent
Deepak Singh,ST1839,89.4,90.7,100.0,87.7,77.8,9.5,91.3,6.7,100.0,Excellent
Khushi Malhotra,ST1840,72.6,64.1,80.9,68.5,64.5,4.2,55.5,8.1,76.9,Good
Mohit Kapoor,ST1841,70.7,65.9,42.0,61.1,60.7,3.8,20.0,6.0,69.6,Average
Sameer Singh,ST1842,67.5,68.5,78.5,55.1,91.2,5.1,55.1,6.5,84.3,Good
Pranav Malhotra,ST1843,64.9,61.5,47.4,68.4,51.3,5.6,53.7,5.8,69.9,Average
Shreya Saxena,ST1844,85.8,55.3,63.8,66.1,89.4,0.7,66.0,8.1,75.6,Good
Rohan Agarwal,ST1845,58.0,39.5,39.9,59.4,58.4,3.9,41.4,8.4,59.4,Average
Ishaan Chauhan,ST1846,100.0,88.0,90.5,97.5,73.6,7.8,89.5,6.4,100.0,Excellent
Aditya Gupta,ST1847,65.1,52.7,48.7,59.0,75.6,2.1,62.5,7.6,77.7,Good
Amit Patel,ST1848,71.8,76.0,70.8,78.5,71.6,7.0,69.3,5.3,90.4,Excellent
Ishaan Mehta,ST1849,77.2,52.7,63.7,65.9,68.6,1.7,51.1,7.4,73.7,Good
Pooja Pandey,ST1850,64.4,50.2,61.4,88.5,37.5,4.8,45.3,5.4,70.7,Good
Aditya Mehta,ST1851,77.1,80.5,77.3,76.2,62.8,1.1,86.4,7.5,82.1,Good
Ananya Rana,ST1852,72.1,51.8,48.4,63.3,57.8,3.5,52.1,5.3,57.5,Average
Pooja Verma,ST1853,81.5,49.0,80.5,90.8,58.7,5.0,88.6,8.7,84.7,Good
Shivam Gupta,ST1854,45.0,44.6,37.6,55.8,37.5,1.5,52.9,7.4,57.1,Average
Amit Sharma,ST1855,64.6,32.8,46.6,59.3,58.8,0.5,48.9,7.5,53.8,Average
Vikram Yadav,ST1856,96.3,73.3,69.7,74.7,74.0,7.5,85.0,8.6,97.4,Excellent
Shreya Shah,ST1857,49.9,59.7,55.3,49.8,42.5,4.6,47.5,7.1,70.1,Good
Nikhil Kapoor,ST1858,73.4,67.0,71.7,75.7,57.7,8.0,73.6,5.0,89.1,Excellent
Sachin Mishra,ST1859,54.5,47.8,55.7,52.6,56.6,4.1,79.6,6.7,71.4,Good
Avni Singh,ST1860,68.7,75.3,73.8,68.7,77.9,4.2,92.0,9.0,88.9,Excellent
Ishaan Saxena,ST1861,65.8,100.0,52.9,85.4,83.1,3.9,73.1,6.2,87.7,Excellent
Avni Agarwal,ST1862,71.7,94.1,70.8,90.5,92.4,4.7,61.0,6.6,88.9,Excellent
Deepak Joshi,ST1863,83.1,70.8,67.6,75.0,86.1,9.5,76.9,8.0,100.0,Excellent
Aarav Gupta,ST1864,100.0,96.9,100.0,91.3,90.9,6.6,90.0,6.0,98.3,Excellent
Meera Malhotra,ST1865,49.6,55.3,53.5,61.3,77.6,3.1,62.6,7.1,68.9,Average
Deepak Sharma,ST1866,69.8,54.5,64.9,66.1,55.8,5.8,57.2,8.3,75.8,Good
Meera Mishra,ST1867,86.0,66.7,84.1,70.7,100.0,3.7,100.0,6.6,93.0,Excellent
Sneha Kapoor,ST1868,100.0,84.7,83.7,78.3,95.8,6.9,82.0,6.0,97.9,Excellent
Sneha Yadav,ST1869,73.4,52.9,54.7,54.1,56.9,4.5,54.2,5.2,78.6,Good
Sneha Rana,ST1870,73.2,51.2,52.6,52.3,67.1,5.2,65.4,5.9,75.7,Good
Rahul Kapoor,ST1871,74.8,48.1,39.0,68.8,58.0,5.1,68.6,6.1,65.9,Average
Isha Patel,ST1872,50.6,55.1,49.2,50.8,34.4,2.3,39.6,7.0,44.9,At Risk
Meera Bansal,ST1873,57.1,40.0,54.7,50.3,52.7,0.5,41.5,7.9,51.9,Average
Ishaan Verma,ST1874,72.6,40.4,51.6,47.9,38.4,1.9,33.3,7.3,60.6,Average
Aryan Gupta,ST1875,53.6,69.7,64.9,53.7,66.8,5.5,61.0,5.7,72.4,Good
Meera Sharma,ST1876,71.6,66.9,58.2,54.8,79.3,8.0,85.9,8.0,85.1,Excellent
Shivam Patel,ST1877,67.4,69.3,69.3,74.9,71.0,3.0,81.2,6.1,74.2,Good
Sneha Gupta,ST1878,72.0,69.8,54.4,41.8,64.2,1.6,75.4,9.2,76.6,Good
Sameer Rana,ST1879,66.4,73.2,67.8,69.9,64.3,1.2,54.3,7.6,71.2,Good
Ishaan Yadav,ST1880,81.9,43.2,68.9,75.3,77.9,3.4,67.5,8.2,77.2,Good
Meera Bansal,ST1881,59.1,44.1,42.6,55.6,50.9,4.2,27.2,7.6,66.3,Average
Nisha Mishra,ST1882,70.7,62.0,76.9,79.3,76.4,8.0,91.6,8.1,99.9,Excellent
Sanya Bansal,ST1883,74.4,77.5,72.0,79.0,91.4,2.6,99.5,7.2,81.7,Good
Riya Mehta,ST1884,68.7,56.8,56.2,66.4,62.1,1.6,47.7,7.1,72.4,Good
Sachin Kapoor,ST1885,64.1,55.9,68.0,68.3,41.9,1.6,82.7,7.7,68.9,Average
Nikhil Yadav,ST1886,82.6,69.9,68.6,92.9,79.4,4.6,80.1,6.8,91.7,Excellent
Tanya Pandey,ST1887,82.2,51.6,64.9,82.7,61.4,4.0,53.5,7.6,80.4,Good
Nikhil Shah,ST1888,87.7,80.7,66.6,88.8,76.5,4.6,71.3,8.6,91.3,Excellent
Karan Bansal,ST1889,90.3,80.7,52.6,62.0,67.3,5.3,74.4,5.3,81.4,Good
Arjun Bansal,ST1890,87.7,62.6,100.0,90.8,67.2,3.2,86.0,7.1,91.7,Excellent
Mohit Sharma,ST1891,74.1,67.8,85.4,79.0,59.0,4.3,66.9,9.3,81.0,Good
Arjun Patel,ST1892,84.2,80.2,67.6,69.1,65.0,7.5,81.7,6.3,84.4,Good
Amit Kapoor,ST1893,75.6,72.0,70.9,67.1,75.4,7.6,83.0,7.7,100.0,Excellent
Neha Kapoor,ST1894,64.7,45.5,40.1,61.6,72.1,6.6,59.3,7.7,79.2,Good
Sanya Sharma,ST1895,68.5,53.7,45.5,56.3,46.4,4.6,58.2,5.6,69.9,Average
Pranav Mishra,ST1896,97.6,78.3,65.0,64.4,70.5,4.4,70.7,7.4,85.4,Excellent
Avni Bansal,ST1897,82.6,63.3,68.2,75.6,69.0,5.0,75.3,7.2,76.3,Good
Khushi Rana,ST1898,70.5,49.2,51.7,59.7,44.6,7.3,34.6,9.5,73.0,Good
Pranav Malhotra,ST1899,100.0,89.1,92.8,87.1,91.4,6.0,81.3,4.5,100.0,Excellent
Vikram Rana,ST1900,92.9,71.9,85.5,87.1,86.1,8.9,77.8,4.9,100.0,Excellent
Deepak Malhotra,ST1901,65.2,74.5,70.2,68.6,60.9,0.5,59.0,7.3,73.0,Good
Pooja Chauhan,ST1902,80.3,56.2,52.9,75.0,68.0,5.1,67.8,6.6,80.0,Good
Aman Sharma,ST1903,86.1,56.5,72.6,65.1,69.2,5.9,72.3,6.0,81.3,Good
Aarav Sinha,ST1904,86.0,96.3,79.6,68.0,62.7,5.8,100.0,6.1,95.2,Excellent
Sachin Saxena,ST1905,52.9,37.7,38.3,51.8,42.2,2.6,34.5,8.0,51.3,Average
Ishaan Saxena,ST1906,100.0,63.9,73.9,100.0,97.9,8.1,93.2,5.8,100.0,Excellent
Amit Joshi,ST1907,66.9,68.5,69.4,74.5,72.7,4.4,47.0,6.5,76.7,Good
Pranav Verma,ST1908,66.2,78.7,67.9,79.9,84.4,3.9,91.3,8.1,93.5,Excellent
Ananya Joshi,ST1909,68.8,70.5,39.7,58.0,62.7,4.1,88.8,8.0,62.8,Average
Sameer Joshi,ST1910,100.0,97.9,100.0,89.3,85.7,4.8,73.1,6.5,99.8,Excellent
Pooja Saxena,ST1911,66.0,87.6,61.2,76.6,67.3,5.6,65.0,5.5,82.4,Good
Diya Joshi,ST1912,83.6,75.1,100.0,100.0,81.6,8.8,87.5,7.4,96.1,Excellent
Diya Joshi,ST1913,85.8,71.8,75.7,58.5,85.0,8.0,68.8,5.7,93.2,Excellent
Ayush Kumar,ST1914,66.6,74.2,53.4,67.9,57.5,1.9,50.7,8.7,71.4,Good
Sanya Patel,ST1915,81.5,90.7,70.5,80.8,70.2,1.7,78.9,7.8,80.4,Good
Aman Patel,ST1916,62.8,59.4,58.5,73.0,73.0,5.0,88.0,6.8,83.2,Good
Manish Patel,ST1917,69.1,73.0,54.6,48.1,56.6,1.1,64.7,7.9,65.3,Average
Sanya Bansal,ST1918,72.6,78.5,91.4,75.5,75.3,5.9,82.7,4.9,91.7,Excellent
Diya Joshi,ST1919,66.1,81.7,58.3,74.1,70.9,0.8,64.0,9.0,77.2,Good
Nikhil Sinha,ST1920,76.0,80.7,79.0,76.6,73.2,7.1,86.9,6.5,90.2,Excellent
Ayush Sharma,ST1921,89.2,70.9,62.1,65.6,61.3,5.0,82.5,7.2,79.1,Good
Nisha Mehta,ST1922,65.2,80.8,57.5,56.9,77.8,0.5,54.5,7.0,67.0,Average
Pooja Kapoor,ST1923,100.0,69.2,96.0,81.0,68.2,6.0,74.4,6.7,97.9,Excellent
Aarav Yadav,ST1924,50.2,77.8,64.8,58.3,77.0,3.8,41.6,8.7,81.4,Good
Anjali Kapoor,ST1925,45.0,47.4,37.3,36.2,34.2,1.4,20.0,7.2,50.7,Average
Mohit Sinha,ST1926,88.2,81.7,69.3,69.9,63.5,6.0,64.3,6.5,86.4,Excellent
Riya Sharma,ST1927,83.6,57.0,87.3,66.5,66.9,0.5,48.5,8.2,78.2,Good
Sakshi Rana,ST1928,71.1,72.7,62.1,82.8,80.4,4.2,82.2,7.4,85.6,Excellent
Shivam Yadav,ST1929,95.6,77.0,75.2,77.2,100.0,6.9,90.1,8.3,98.3,Excellent
Tanya Mishra,ST1930,100.0,86.4,100.0,76.6,79.2,6.6,98.7,4.8,94.9,Excellent
Shivam Malhotra,ST1931,71.3,69.7,61.2,65.1,64.6,3.7,51.4,6.7,73.0,Good
Ishaan Agarwal,ST1932,68.1,38.6,61.2,46.4,71.9,5.2,73.7,5.5,67.2,Average
Aditya Chauhan,ST1933,80.9,69.3,91.2,80.5,82.5,2.3,80.9,8.6,88.8,Excellent
Aryan Singh,ST1934,58.0,81.6,66.8,48.7,68.4,3.5,68.4,5.9,80.7,Good
Mohit Malhotra,ST1935,75.8,68.4,94.0,79.9,87.5,4.6,84.1,7.4,92.3,Excellent
Aditya Patel,ST1936,68.5,67.8,60.4,74.0,58.3,3.5,63.9,5.9,79.6,Good
Rahul Yadav,ST1937,78.4,74.5,62.9,74.6,47.0,3.2,58.8,6.7,75.2,Good
Amit Verma,ST1938,51.3,51.1,33.7,46.0,54.6,7.1,65.8,5.8,64.8,Average
Sneha Kapoor,ST1939,93.6,78.7,84.2,81.6,100.0,7.7,72.8,6.7,93.3,Excellent
Shreya Kapoor,ST1940,70.3,59.2,37.6,57.5,63.9,7.5,63.5,8.7,81.9,Good
Nikhil Patel,ST1941,72.1,51.0,78.2,65.1,67.5,6.4,66.7,5.4,75.9,Good
Mohit Mishra,ST1942,78.5,59.0,66.4,63.8,66.2,4.2,72.8,6.0,72.4,Good
Karan Kapoor,ST1943,79.7,73.9,76.2,83.9,85.8,5.5,85.4,7.5,87.6,Excellent
Isha Kumar,ST1944,62.8,63.2,57.3,72.9,57.9,5.9,68.5,6.7,78.5,Good
Ayush Sinha,ST1945,83.4,72.7,79.3,69.8,77.0,5.8,62.0,5.6,82.9,Good
Isha Kumar,ST1946,100.0,76.5,86.0,80.8,70.1,5.5,83.9,6.5,100.0,Excellent
Mohit Shah,ST1947,79.1,64.6,76.2,83.2,62.0,7.4,67.9,5.2,90.2,Excellent
Neha Sinha,ST1948,72.1,53.8,54.5,79.6,55.0,0.9,57.0,7.0,64.4,Average
Sanya Chauhan,ST1949,71.0,87.7,50.5,84.2,85.0,3.9,50.7,6.2,69.8,Average
Aman Saxena,ST1950,67.4,54.8,68.7,59.3,52.4,8.2,81.5,6.9,81.9,Good
Priya Kapoor,ST1951,66.2,62.9,59.8,66.4,62.9,5.1,62.7,7.6,75.7,Good
Rahul Singh,ST1952,84.0,54.6,61.4,70.8,85.6,0.5,77.2,4.9,75.0,Good
Arjun Saxena,ST1953,95.8,82.2,86.7,88.6,100.0,8.0,68.6,6.7,100.0,Excellent
Shreya Bansal,ST1954,90.0,81.3,69.2,62.9,59.6,2.8,85.9,5.0,84.0,Good
Aditya Rana,ST1955,55.8,70.0,59.8,73.1,69.7,3.6,84.8,7.2,78.8,Good
Diya Kumar,ST1956,76.7,62.7,63.0,79.6,61.8,9.8,87.1,8.0,86.9,Excellent
Pranav Mishra,ST1957,87.2,54.9,72.3,73.9,68.5,7.4,71.9,6.4,82.9,Good
Anjali Yadav,ST1958,68.7,65.1,66.1,66.5,72.7,8.7,100.0,6.8,87.3,Excellent
Avni Mehta,ST1959,93.0,90.0,81.1,81.9,93.5,4.9,92.7,7.8,98.1,Excellent
Diya Mehta,ST1960,81.9,70.4,66.8,83.0,52.3,3.6,47.7,7.9,78.0,Good
Shreya Pandey,ST1961,45.0,25.0,37.4,36.4,25.0,0.6,31.4,8.4,47.1,At Risk
Aman Mehta,ST1962,54.0,53.5,78.4,65.0,73.4,4.9,65.2,7.4,79.3,Good
Aarav Yadav,ST1963,86.0,82.3,83.9,64.3,76.2,5.5,83.8,6.2,88.1,Excellent
Diya Joshi,ST1964,87.8,54.0,62.3,72.0,69.6,7.6,74.5,7.3,89.8,Excellent
Pranav Joshi,ST1965,85.5,56.3,79.5,68.9,66.9,4.9,81.2,8.5,80.8,Good
Isha Agarwal,ST1966,88.5,94.8,91.5,81.5,74.1,8.6,79.7,7.1,100.0,Excellent
Nisha Agarwal,ST1967,65.2,68.2,67.5,75.7,58.9,3.0,62.2,7.4,79.3,Good
Arjun Saxena,ST1968,69.7,32.3,44.3,48.7,54.2,1.1,29.9,5.8,54.1,Average
Pranav Gupta,ST1969,67.3,43.4,49.2,67.0,56.7,3.0,27.5,6.2,64.1,Average
Aman Bansal,ST1970,71.0,67.9,73.6,65.8,72.9,4.3,69.3,6.4,82.4,Good
Nisha Sinha,ST1971,77.4,67.2,65.2,82.4,65.8,6.2,59.1,5.8,86.6,Excellent
Shreya Mehta,ST1972,92.2,68.2,74.7,85.0,88.6,8.2,83.0,6.5,100.0,Excellent
Avni Bansal,ST1973,61.9,48.1,58.3,62.8,63.0,3.1,52.2,6.3,71.7,Good
Manish Kumar,ST1974,75.0,72.4,80.9,54.3,76.9,5.2,51.4,7.8,76.8,Good
Avni Sharma,ST1975,76.1,52.7,48.2,52.1,57.2,6.8,50.8,6.4,73.5,Good
Amit Kapoor,ST1976,67.1,48.9,58.0,68.5,66.2,5.6,67.9,5.8,73.5,Good
Shivam Yadav,ST1977,67.0,31.5,35.4,46.5,52.5,3.1,38.9,6.3,56.6,Average
Sanya Sharma,ST1978,55.3,67.9,73.9,75.5,70.7,6.2,61.1,6.9,85.4,Excellent
Mohit Rana,ST1979,94.4,58.6,74.7,72.1,81.9,7.3,92.5,6.4,92.7,Excellent
Neha Saxena,ST1980,74.2,68.8,52.6,55.9,66.2,6.9,79.3,6.8,81.7,Good
Sneha Kapoor,ST1981,100.0,86.0,72.6,96.2,88.1,7.2,96.5,6.5,100.0,Excellent
Shivam Mehta,ST1982,95.3,76.4,97.7,85.0,86.4,8.4,93.1,8.3,99.7,Excellent
Sakshi Mishra,ST1983,60.1,57.9,44.6,62.8,65.4,3.0,50.5,8.1,75.3,Good
Avni Joshi,ST1984,54.2,37.4,50.8,61.0,42.4,1.8,38.4,6.5,54.6,Average
Ishaan Shah,ST1985,56.8,71.2,59.4,56.6,89.7,5.2,63.5,5.0,82.2,Good
Pooja Verma,ST1986,85.0,79.6,78.5,63.3,72.6,2.5,73.8,6.9,78.6,Good
Shivam Mehta,ST1987,68.1,49.9,61.1,65.2,48.1,4.0,57.1,6.0,63.8,Average
Mohit Bansal,ST1988,65.2,58.3,51.9,47.4,61.5,2.3,44.7,5.6,61.1,Average
Akash Agarwal,ST1989,97.6,81.3,77.2,78.8,100.0,4.5,94.1,7.7,97.6,Excellent
Varun Joshi,ST1990,72.8,68.6,69.7,76.5,56.8,5.5,58.0,6.9,78.2,Good
Ayush Mehta,ST1991,87.1,76.2,68.0,75.0,67.5,4.9,99.0,8.1,86.4,Excellent
Nisha Chauhan,ST1992,74.4,46.0,66.9,49.3,55.0,3.7,71.8,7.1,72.4,Good
Manish Kumar,ST1993,69.5,56.5,58.0,71.2,60.9,4.0,47.4,6.9,78.5,Good
Pranav Patel,ST1994,64.1,63.6,66.5,63.3,50.5,3.0,60.9,6.0,76.5,Good
Sakshi Mehta,ST1995,52.7,69.0,55.0,57.6,44.5,3.8,79.2,6.5,67.3,Average
Shreya Malhotra,ST1996,87.7,89.9,80.9,100.0,84.2,3.7,89.8,5.4,87.5,Excellent
Sneha Sharma,ST1997,65.2,36.6,43.3,62.7,58.5,2.5,52.4,8.3,62.6,Average
Shreya Singh,ST1998,66.1,59.7,68.8,70.1,64.6,8.3,43.7,5.3,86.9,Excellent
Aryan Malhotra,ST1999,84.2,52.8,37.1,74.9,63.0,2.0,61.1,7.6,74.5,Good
Sameer Patel,ST2000,71.7,63.8,63.8,71.1,74.8,7.5,75.5,6.5,86.7,Excellent
Varun Kumar,ST2001,52.7,40.6,57.0,62.3,52.8,7.6,39.2,7.1,68.0,Average
Diya Rana,ST2002,97.1,85.0,76.7,80.5,87.0,4.3,85.8,7.1,98.3,Excellent
Aditya Gupta,ST2003,47.8,47.8,68.7,66.1,58.8,3.8,48.3,5.8,75.5,Good
Priya Malhotra,ST2004,95.3,85.1,73.9,88.7,87.1,3.8,85.5,6.8,92.3,Excellent
Tanya Malhotra,ST2005,81.2,61.2,80.8,82.6,74.5,2.0,69.2,8.6,73.8,Good
Akash Yadav,ST2006,64.6,47.5,42.4,68.7,76.3,3.1,49.0,6.4,61.8,Average
Akash Patel,ST2007,77.1,66.3,64.1,83.8,65.9,6.1,85.7,8.0,87.7,Excellent
Aditya Yadav,ST2008,77.5,62.1,45.8,76.8,56.7,3.3,69.0,7.9,73.9,Good
Aditya Patel,ST2009,67.4,33.2,52.6,65.3,64.3,0.5,80.1,7.7,69.9,Average
Kavya Singh,ST2010,69.5,69.1,71.8,79.4,78.5,3.6,93.3,6.4,79.8,Good
Sanya Pandey,ST2011,93.9,94.1,84.6,64.8,80.8,7.3,67.9,7.0,96.9,Excellent
Arjun Yadav,ST2012,96.2,87.4,83.7,86.0,78.6,7.7,97.6,6.2,98.1,Excellent
Shreya Gupta,ST2013,73.9,63.3,62.4,79.0,61.1,5.1,54.6,8.1,83.8,Good
Diya Kapoor,ST2014,71.6,52.4,71.6,64.1,67.6,4.0,55.7,5.8,69.1,Average
Karan Agarwal,ST2015,83.9,71.9,89.1,66.9,53.7,2.7,50.9,7.6,78.7,Good
Rohan Saxena,ST2016,94.5,91.7,80.1,82.9,95.6,8.7,81.6,6.6,97.2,Excellent
Deepak Rana,ST2017,57.8,57.4,77.8,64.4,38.2,6.2,70.3,7.2,73.5,Good
Karan Yadav,ST2018,67.0,61.3,69.9,60.8,53.9,3.0,64.3,8.0,80.9,Good
Arjun Pandey,ST2019,74.0,52.6,60.6,63.0,53.7,3.1,64.1,6.3,77.4,Good
Akash Saxena,ST2020,61.5,53.3,55.2,61.6,72.0,0.5,20.0,6.7,63.4,Average
Rohan Shah,ST2021,87.3,83.6,38.0,54.1,70.0,5.7,68.2,7.1,83.5,Good
Nikhil Sinha,ST2022,87.9,89.5,83.6,85.1,90.4,10.0,74.6,7.4,100.0,Excellent
Vikram Gupta,ST2023,64.0,51.7,57.9,64.8,56.8,5.8,46.7,6.6,72.7,Good
Meera Malhotra,ST2024,85.9,43.7,77.5,46.7,66.1,7.1,43.0,8.2,81.8,Good
Aarav Pandey,ST2025,61.7,75.4,65.8,76.8,99.8,4.1,71.1,6.8,83.5,Good
Ananya Bansal,ST2026,76.4,62.1,73.8,78.1,80.0,3.0,83.0,6.5,84.6,Good
Arjun Mehta,ST2027,76.0,65.2,64.7,70.1,62.8,6.9,55.2,7.2,78.3,Good
Sakshi Sharma,ST2028,97.9,79.4,70.8,88.1,64.5,6.6,91.9,6.3,100.0,Excellent
Karan Yadav,ST2029,72.7,42.6,51.6,65.6,65.2,1.9,68.0,6.8,74.1,Good
Tanya Pandey,ST2030,92.9,70.4,71.7,60.8,54.7,7.3,68.5,7.0,83.4,Good
Sanya Chauhan,ST2031,76.9,76.6,49.2,79.2,64.0,3.9,61.3,8.1,80.2,Good
Shreya Sharma,ST2032,71.1,55.2,74.8,81.6,82.0,3.1,66.7,7.5,77.2,Good
Nikhil Bansal,ST2033,73.5,70.9,58.6,60.7,63.8,5.6,72.5,7.0,82.8,Good
Aditya Joshi,ST2034,59.3,52.1,64.7,66.4,51.7,0.6,44.1,9.4,65.5,Average
Mohit Verma,ST2035,97.8,100.0,99.0,88.5,100.0,9.3,100.0,7.2,100.0,Excellent
Priya Joshi,ST2036,63.8,63.8,49.0,73.4,58.1,2.2,51.9,7.0,63.7,Average
Aarav Mishra,ST2037,83.2,82.1,64.2,72.4,56.4,5.1,73.9,8.1,91.8,Excellent
Akash Pandey,ST2038,84.5,71.6,78.9,74.0,80.0,5.8,86.3,6.7,89.4,Excellent
